190,10,92,919021,2477
191,25,84,919027,2464
192,10,93,919016,2481
193,484,19318,899790,2008
194,309,17239,901865,2187
195,631,8509,910592,1868
196,518,7749,911349,1984
197,286,4389,914706,2219
198,503,15402,903692,2003
199,12,93,918998,2497
200,17,83,919005,2495
201,14,86,918806,2694
202,11,90,918800,2699
203,37,124,918766,2673
204,159,20075,898813,2553
205,22,95,918792,2691
206,485,16813,902072,2230
207,558,17892,900991,2159
208,513,18601,900279,2207
209,484,16346,902530,2240
210,495,16068,902804,2233
211,302,15490,903178,2630
212,361,15545,903117,2577
213,216,15676,902981,2727
214,225,19986,898464,2925
215,24,14485,903960,3131
216,376,15965,902525,2734
217,244,16572,901912,2872
218,240,16540,901717,3103
219,0,14267,903983,3350
220,37,15714,902529,3320
221,25,15616,902400,3559
222,54,6769,911239,3538
223,123,14199,903804,3474
224,606,15045,902953,2996
225,363,16413,901585,3239
226,201,14114,903883,3402
227,330,5724,912269,3277
228,739,7969,910027,2865
229,723,6670,911326,2881
230,869,12003,905990,2738
231,683,9300,908693,2924
232,930,10590,907389,2691
233,779,10601,907140,3080
234,712,10309,907193,3386
235,793,9280,908202,3325
236,4350,27412,889838,0
237,4587,27033,889980,0
238,669,12153,904843,3935
239,143,10014,906743,4700
240,617,11651,904977,4355
241,4977,24809,891814,0
242,173,12102,904516,4809
243,527,10033,906580,4460
244,532,3974,912743,4351
245,148,4049,912660,4743
246,865,6303,910397,4035
247,4316,19300,897400,584
248,518,5924,910772,4386
249,1350,6934,909754,3562
250,1275,7447,909234,3644
251,4517,19596,897310,177
252,4426,19153,897768,253
253,4052,19354,897793,401
254,3978,19150,898014,458
255,801,4896,912287,3616
256,3201,17508,899680,1211
257,4395,36701,880504,0
258,2309,16014,901320,1957
259,2579,17011,900556,1454
260,2361,16019,901565,1655
261,2320,16455,901363,1462
262,3771,37058,880771,0
263,153,1318,916520,3609
264,3749,37842,880009,0
265,2527,15710,902152,1211
266,2691,15914,901957,1038
267,3189,17439,900547,425
268,3461,17656,900340,143
269,3188,17365,900863,184
270,3356,37689,880555,0
271,2792,17252,901225,331
272,3088,17971,900513,28
273,3047,17722,900774,57
274,2853,18196,900529,22
275,2517,17258,901476,349
276,2866,36137,882597,0
277,489,20863,897874,2374
278,2863,34393,884344,0
279,2862,33911,884827,0
280,2861,33838,884901,0
281,2861,33144,885595,0
282,2861,33483,885256,0
283,2861,35456,883283,0
0,12747,24547,882339,1967
0,12747,24547,882339,1967
1,13509,23785,883851,455
2,13612,31905,875636,447
3,13889,31673,875706,332
4,14038,26764,880533,265
5,14142,27719,879516,223
6,14318,26810,880366,106
7,510,22086,885041,13963
8,14167,23339,883747,347
9,313,22468,884586,14233
10,14067,24424,882525,584
11,217,23432,883556,14395
12,157,23736,883291,14416
13,179,23191,883877,14353
14,134,23382,883653,14431
15,310,18422,888640,14228
16,281,21853,885247,14219
17,217,17916,889140,14327
18,144,20870,886213,14373
19,14088,28143,878966,403
20,14054,22632,884550,364
21,14065,23770,883486,279
22,13988,24523,882884,205
23,14172,29921,877368,139
24,14187,27686,879564,163
25,14347,21947,885189,117
26,14419,22193,884900,88
27,14398,28972,878082,148
28,14454,26200,880744,202
29,14356,23412,883490,342
30,14473,27970,878896,261
31,14454,27837,878926,383
32,13977,27463,879254,906
33,14242,25591,881098,669
34,14283,27045,879541,731
35,14504,27234,879316,546
36,14748,27276,879082,494
37,15062,26568,879611,359
38,15299,25983,879962,356
39,15413,25377,880358,452
40,15592,27025,878483,500
41,16203,25569,879713,115
42,16341,25810,879366,83
43,16226,25137,880111,126
44,16197,24463,880847,93
45,16173,24667,880628,132
46,16182,24211,881123,84
47,16190,25563,879792,55
48,16166,24542,880831,61
49,16194,24910,880414,82
50,16207,20104,885215,74
51,16336,23293,881850,121
52,16512,21463,883475,150
53,16394,23969,881091,146
54,16292,15700,889391,217
55,16067,22567,882604,362
56,15942,23243,881991,424
57,15767,21360,883956,517
58,15811,22490,882908,391
59,15416,22663,882813,708
60,15341,23595,881966,698
61,14833,22324,883627,816
62,15048,23666,882436,450
63,14964,22608,883573,455
64,14634,23784,882546,636
65,14829,23351,883037,383
66,14882,22231,884097,390
67,15122,21052,885099,327
68,15305,19551,886438,306
69,15517,19533,886282,268
70,247,11541,894098,15714
71,233,11544,894028,15795
72,193,13601,891796,16010
73,15759,22785,882888,168
74,151,13894,891505,16050
75,251,15286,889699,16364
76,217,12383,892791,16209
77,0,5846,899538,16216
78,0,4215,901253,16132
79,1165,10112,895546,14777
80,714,10444,895403,15039
81,14996,21031,884969,604
82,14826,20651,885508,615
83,14645,19678,886748,529
84,14274,20790,885797,739
85,13418,12926,893817,1439
86,14011,20022,886981,586
87,239,10280,896644,14437
88,209,10980,895959,14452
89,181,20677,886273,14469
90,272,22161,884738,14429
91,242,22150,884777,14431
92,276,22434,884533,14357
93,366,21965,885138,14131
94,160,22736,884383,14321
95,386,22229,885038,13947
96,2451,23343,883956,11850
97,2264,23144,884246,11946
98,2037,21409,885489,12665
99,1813,21670,885278,12839
100,1507,21259,885775,13059
101,1307,21141,885743,13409
102,1122,21903,884925,13650
103,1304,22098,884631,13567
104,929,21252,885441,13978
105,170,23282,883301,14847
106,167,22592,883983,14858
107,1411,20948,885533,13708
108,231,24196,882220,14953
109,368,15100,891225,14907
110,277,19539,886740,15044
111,331,21394,884853,15022
112,349,20493,885732,15026
113,399,19414,886826,14961
114,449,17790,888426,14935
115,395,19858,886321,15026
116,228,19987,886168,15217
117,376,20191,885991,15042
118,211,18602,887628,15159
119,12775,27319,878886,2620
120,1800,20399,885836,13565
121,1363,19488,886772,13977
122,1228,19464,886802,14106
123,1031,19853,886469,14247
124,910,20096,886195,14399
125,877,24037,882279,14407
126,74,22017,884311,15198
127,1633,18733,887617,13617
128,14005,25391,880940,1264
129,449,18757,887618,14776
130,1014,15813,890592,14181
131,112,18302,887981,15205
132,10138,20761,885440,5261
133,12087,21578,884525,3410
134,9995,8674,897308,5623
135,9382,19121,886764,6333
136,12000,21302,884601,3697
137,6899,18968,886970,8763
138,11704,8975,896989,3932
139,8098,9671,896316,7515
140,15589,26103,879908,0
141,9111,20165,885866,6458
142,0,11702,894365,15533
143,1364,13917,892128,14191
144,1646,13477,892589,13888
145,1716,13222,892863,13799
146,1909,13469,892645,13577
147,1870,14359,891776,13595
148,1729,11513,894643,13715
149,826,12422,893758,14594
150,1346,11821,894381,14052
151,1172,13696,892486,14246
152,1017,12149,894072,14362
153,761,11794,894456,14589
154,678,12002,894266,14654
155,105,11396,894918,15181
156,57,9072,897284,15187
157,183,12401,894008,15008
158,168,13757,892703,14972
159,90,12475,894044,14991
160,47,10718,895850,14985
161,5,86,906535,14974
162,4,101,906522,14973
163,0,87,906584,14929
164,0,96,906671,14833
165,0,231,906581,14788
166,594,11332,895526,14148
167,814,12062,894847,13877
168,860,5703,901303,13734
169,450,5831,901225,14094
170,1330,8080,899017,13173
171,884,6924,900272,13520
172,1005,7115,900091,13389
173,922,5402,901818,13458
174,994,5299,901932,13375
175,125,9648,897598,14229
176,12,97,907151,14340
177,11,100,907167,14322
178,10,95,907185,14310
179,8,98,907196,14298
180,10,106,907126,14358
181,6,113,907126,14355
182,3,93,907080,14424
183,5,89,907142,14364
184,3,95,907060,14442
185,9,93,907068,14430
186,216,763,906312,14309
187,131,397,906698,14374
188,53,97,906986,14464
189,473,562,906454,14111
190,77,123,906827,14573
191,75,179,906761,14585
192,32,63,907070,14435
193,40,60,906795,14705
194,24,77,906605,14894
195,802,19966,886688,14144
196,544,17997,888586,14473
197,428,17049,889541,14582
198,20,72,906502,15006
199,324,19223,887185,14868
200,220,21625,884771,14984
201,136,19414,886924,15126
202,13,76,906261,15250
203,93,24525,881740,15242
204,11,662,905605,15322
205,11,17870,888400,15319
206,5,17121,889151,15323
207,0,17329,888870,15401
208,8,23508,882689,15395
209,184,20315,885880,15221
210,1422,21586,884607,13985
211,976,25303,880864,14457
212,921,22290,883703,14686
213,764,21235,884793,14808
214,892,22397,883525,14786
215,880,21503,884392,14825
216,679,18729,887105,15087
217,758,15352,890427,15063
218,751,14987,890733,15129
219,539,16101,889567,15393
220,456,18844,886771,15529
221,390,17358,888145,15707
222,312,21105,884344,15839
223,364,16552,888840,15844
224,245,14678,890708,15969
225,118,11788,893592,16102
226,108,15825,889561,16106
227,112,11382,894000,16106
228,63,12524,892915,16098
229,45,13051,892383,16121
230,16,12488,892940,16156
231,41,9594,895864,16101
232,28,4564,900840,16168
233,26,5702,899606,16266
234,1532,11714,893530,14824
235,1799,9241,895883,14677
236,1469,7948,897117,15066
237,756,6101,898888,15855
238,1015,8648,896266,15671
239,990,10524,894326,15760
240,860,9690,895086,15964
241,777,9713,895035,16075
242,819,10320,894414,16047
243,694,8817,895860,16229
244,629,8646,896021,16304
245,450,8335,896308,16507
246,15006,10584,894034,1976
247,213,8792,895818,16777
248,929,4502,900097,16072
249,253,7404,897173,16770
250,2171,5481,899082,14866
251,31,664,903920,16985
252,22,807,903871,16900
253,3047,10122,894641,13790
254,2908,9058,895832,13802
255,2876,7126,897853,13745
256,2632,8799,896269,13900
257,2327,8051,897150,14072
258,3957,3747,901530,12366
259,2808,3853,901489,13450
260,1853,3861,901594,14292
261,1193,4138,901376,14893
262,1562,5296,900269,14473
263,4276,7743,897952,11629
264,5283,28463,877306,10548
265,3384,6607,899237,12372
266,3022,6875,899051,12652
267,3207,5244,900752,12397
268,2811,8516,897595,12678
269,7087,30064,876119,8330
270,6499,30628,875651,8822
271,327,28066,878358,14849
272,1256,24539,881983,13822
273,8705,33185,873442,6268
274,353,30317,876457,14473
275,1078,4901,901980,13641
276,1148,5401,901482,13569
277,1452,4904,901973,13271
278,1126,4680,902196,13598
279,513,4279,902609,14199
280,1232,3569,903317,13482
281,6417,7018,899868,8297
282,1608,3097,903789,13106
283,5917,6707,900179,8797
